Video_name,Caption,Gloss,Video_path
Q9vTHOXmiGDnV5a6s1VE,This might actually work. ,THIS POSSIBLE WORK,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/Q9vTHOXmiGDnV5a6s1VE
zRiQAg9wAI8JW3Eq75BT,It's the end of an era.,END ERA,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/zRiQAg9wAI8JW3Eq75BT
Ofd4CpqiNtUpVzgu88gy,i have two little boys with me now.,NOW TWO LITTLE BOY WITH ME,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/Ofd4CpqiNtUpVzgu88gy
x7oxlwpLyFBzJwZC5kcL,He nearly died in that accident!,fs-HE DIE THAT ACCIDENT ALMOST,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/x7oxlwpLyFBzJwZC5kcL
TtF1uIUApvvRX9Gr31Ei,"give him a break, he is only human.",GIVE BREAK IX-ONE-s:1 ONLY HUMAN,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/TtF1uIUApvvRX9Gr31Ei
6vXi0rUgZ9cxaezEVncQ,I have a question for you.,ME HAVE QUESTION FOR YOU,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/6vXi0rUgZ9cxaezEVncQ
35ZixUMhfxUPG275AutA,His room is at the end of the corridor.,POSS-s:2 ROOM END HALL,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/35ZixUMhfxUPG275AutA
fZCBbDP9dXrPnUx2OfZM,There are 4 seasons in a year,four  fs-seasons one year,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/fZCBbDP9dXrPnUx2OfZM
FY45jVgfa4mkoKAgrTQE,This is the next best thing,this next best thing,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/FY45jVgfa4mkoKAgrTQE
jCIx10ktdFhocY2ZEfUo,Today is national friendship day,,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/jCIx10ktdFhocY2ZEfUo
WHd9wa1zx4x5pE3fqy6O,Let’s have dinner after work.,YOU ME DINNER AFTER WORK,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/WHd9wa1zx4x5pE3fqy6O
MnDC39GnX6xXRm8cWlG2,Everyone thinks I stole that file.,fs-ALL THINK ME STEAL THAT FILE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/MnDC39GnX6xXRm8cWlG2
XYmRcNng5hVWQvDXeJpr,"Yeah, he did call me earlier.",YES IX-ONE-s:3 CALL ME BEFORE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/XYmRcNng5hVWQvDXeJpr
sAonDZVB9y1SZT3DeJ1w,I heard him singing earlier.,early ME hear HIM SING,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/sAonDZVB9y1SZT3DeJ1w
JRFCNjRPBSc9qISTBSwU,He's a Republican candidate,ix-one-s:1 republican candidate,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/JRFCNjRPBSc9qISTBSwU
3hqHewbUXzl2MFM14ew2,Our official wedding photos are out!,OUR OFFICIAL+ WEDDING PHOTO OUT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/3hqHewbUXzl2MFM14ew2
E9SSPPQy2ORPRXiZ3WxU,I always bring pepper spray with me.,ME ALWAYS BRING PEPPER SPRAY WITH ME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/E9SSPPQy2ORPRXiZ3WxU
xr78KYH5b4ffT2N20n9m,"You can’t drive there, you need to walk.",YOU can-not DRIVE THERE MUST WALK,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/xr78KYH5b4ffT2N20n9m
NQHX4v8TlKrYNjtEuWNZ,The bike itself is pretty awesome.,BICYCLE ITSELF AWESOME+,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/NQHX4v8TlKrYNjtEuWNZ
Zdn0ZG8W9KCSSMcGyKGF,That picture is so clear inside my head,that picture clear my head,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Zdn0ZG8W9KCSSMcGyKGF
IWl66G0kxZxcPVOUo5aY,you have a lot of explaining to do.,YOU HAVE A-LOT EXPLAIN TO-DO,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/IWl66G0kxZxcPVOUo5aY
VO4FFpUvADYocUyoZJSv,If only I could turn back time,if me look-back-on,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/VO4FFpUvADYocUyoZJSv
fGVoxX8tJqy68Y2KEu0V,They’re together now.,fs-THEY TOGETHER NOW,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/fGVoxX8tJqy68Y2KEu0V
g5VhPV1CB4xsANrX2ytn,I love what you’re wearing!,ME LOVE WHAT YOU WEAR,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/g5VhPV1CB4xsANrX2ytn
Ni4N5M2IvoMWB9cPS7Bi,I'm scared to check what's behind that door.,scare check behind door me,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Ni4N5M2IvoMWB9cPS7Bi
2lRVnuBtVbVtV8wxh2Ce,I give her tickles in return.,ME GIVE fs-HER TICKLE FAIR,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/2lRVnuBtVbVtV8wxh2Ce
piHjVebXjYy05Jz0Bplw,You are a wonderful leader,YOU WONDERFUL LEAD,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/piHjVebXjYy05Jz0Bplw
onBj5vJb0pRhU3i8eLuR,Will you support him,will you support ix-one-s:1,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/onBj5vJb0pRhU3i8eLuR
wtwsxPOfPsECBv44e1cW,Please position your hand properly when drawing.,PLEASE POSITION YOUR HAND DRAW,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/wtwsxPOfPsECBv44e1cW
1lUKAcsjELTNFhg4tmVO,What can we change so that things will get better?,CAN WE CHANGE IMPROVE WHAT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/1lUKAcsjELTNFhg4tmVO
0RC3oGsrj5bCU9BFylIg,What’s your plan this time?,WHAT YOUR PLAN TODAY,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/0RC3oGsrj5bCU9BFylIg
urMVMaKezybw6Jf5MapR,I really like your painting!,REALLY LIKE YOUR PAINTING ME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/urMVMaKezybw6Jf5MapR
kcHFAIxds509q8BCHeB8,What if i fail?,fs-if ME FAIL,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/kcHFAIxds509q8BCHeB8
1BY1v7wYCPYvD2euLmhX,How do I use this?,HOW ME USE this,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/1BY1v7wYCPYvD2euLmhX
3q6Lw6sYHQoI8EOTQpLL,"Be careful, you might fall",careful you might fall,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/3q6Lw6sYHQoI8EOTQpLL
r5Lx7wLjekQHyFequV02,Sometimes I forget to turn off the porch lights.,SOMETIMES ME FORGOT TURN fs-OFF LIGHT fs-PORCH,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/r5Lx7wLjekQHyFequV02
SffvazN9Bwx8E9P6QPiu,Are you open to teaching on weekends?,YOU OPEN TEACH WEEKEND,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/SffvazN9Bwx8E9P6QPiu
6Ei5ht747BMp6esO3MjB,Please turn off the television.,PLEASE TURN fs-OFF fs-TV,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/6Ei5ht747BMp6esO3MjB
FQHhmw7gy3fKnV1J53eK,what can i do for you?,WHAT CAN ME FOR YOU DO,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/FQHhmw7gy3fKnV1J53eK
LRsJyJVeSErunakOgM5d,The ground is shaking,GROUND SHAKE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/LRsJyJVeSErunakOgM5d
A0XX3vVck9mV9GAQ82U1,She kept saying this over and over again.,fs-SHE KEEP SAY OVER AND OVER,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/A0XX3vVck9mV9GAQ82U1
wlj5H41IKHlKDWApAxPh,we can sell your old couch online.,WE CAN SELL YOUR OLD COUCH ONLINE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/wlj5H41IKHlKDWApAxPh
RswSIz8uBopaTilQ1gLx,"call me when you get home, okay?",A:CALL:S YOU ARRIVE HOME #OKAY WHEN,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/RswSIz8uBopaTilQ1gLx
P9ewGdTCQieeufTHcza4,can I say something?,CAN ME SAY SOMETHING,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/P9ewGdTCQieeufTHcza4
1iYFgHuHI2E4O7YFOZ1B,"She has long, brown hair",ix-one-s:1 have long brown hair,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/1iYFgHuHI2E4O7YFOZ1B
kU5hbXu3R1l86M0vMbeQ,Are you going to her party tonight?,YOU GO fs-HER PARTY TONIGHT++,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/kU5hbXu3R1l86M0vMbeQ
dUCaTdxWiZCX2FQlDnp0,Why won’t you let him know how you feel?,WHY you WILL-NOT LET ix-one-s:3 KNOW how YOU FEEL,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/dUCaTdxWiZCX2FQlDnp0
fDNbNM449zNHszWStdqK,"After all this time, he has finally learned to love.",AFTER all THIS IX-ONE-s:2 FINALLY LEARN LOVE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/fDNbNM449zNHszWStdqK
AIJNPebTJNe9LMI9ojgh,Can we make our projects together?,"CAN IX-ONE-p:1,2,3,4 WORK OUR PROJECT TOGETHER",ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/AIJNPebTJNe9LMI9ojgh
WaYeCvuRY84XL9g1ZXAW,What will happen if you don’t submit your report on time?,WHAT WILL HAPPEN fs-IF YOU DO NOT SUBMIT YOUR REPORT TIME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/WaYeCvuRY84XL9g1ZXAW
UQ3KdBn8D9oF3SBIZF62,"Though you are angry now, I'm sure you will forget about this later",mad now you will forget later me sure,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/UQ3KdBn8D9oF3SBIZF62
s8VYoLNKewYTukU0TRM6,where can i find rare furniture?,WHERE fs-RARE FURNITURE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/s8VYoLNKewYTukU0TRM6
MrKs615QDJcG7C0DaUxJ,That was such a long time ago,long time before that,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/MrKs615QDJcG7C0DaUxJ
NHqlZ0mrKsIeeG5zaqvD,Today is the first of November,TODAY ONE fs-NOV,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/NHqlZ0mrKsIeeG5zaqvD
TJuZsoqQNa6cnFDmKYM1,Everyone thinks I stole that file,that file everyone think me steal,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/TJuZsoqQNa6cnFDmKYM1
kzSAbO9DCCs0BwGvV97P,There are so many people at the mall today.,MANY PEOPLE there fs-MALL TODAY,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/kzSAbO9DCCs0BwGvV97P
hBIaqFBImr2wQH3HgLtx,Just a few more errands and I'm done!,FEW MORE DO ME FINISH,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/hBIaqFBImr2wQH3HgLtx
l6jZCAUnAMhCiLEDh4k6,Don't force him to play with other kids,,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/l6jZCAUnAMhCiLEDh4k6
CwrXovK3uq3p4ciHQtbw,I’m too early for my appointment.,ME fs-TOO EARLY FOR MY APPOINTMENT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/CwrXovK3uq3p4ciHQtbw
BpZeb0Ndab3jcmvCYTJC,You are only allowed to go out today.,ALLOW GO-OUT TODAY ONLY YOU,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/BpZeb0Ndab3jcmvCYTJC
08JzJf4uFsnIMRC8RU2f,Her role as an english teacher is very important,poss-s:3 role english teacher important,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/08JzJf4uFsnIMRC8RU2f
FWlgnhIEuNqrOHPgz1kk,I like this cake better than the other one you showed me.,ME LIKE this CAKE BETTER THAN OTHER ONE YOU A:SHOW:S ME,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/FWlgnhIEuNqrOHPgz1kk
ZcB1Wwe8AbHT5tHqb0C2,I’m going to live like there’s no tomorrow.,ME WILL GO live like NONE TOMORROW,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/ZcB1Wwe8AbHT5tHqb0C2
GxPujhBNOVxMRBLTO9Vo,What can we change so that things will get better?,"WHAT CAN WE CHANGE fs-SO IX-ONE-s: 3,4 WILL BECOME BETTER",ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/GxPujhBNOVxMRBLTO9Vo
833ceyPf8lmPq9eXMVvd,Her role as an English teacher is very important.,POSS-s:3 ROLE ENGLISH TEACHER IMPORTANT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/833ceyPf8lmPq9eXMVvd
5cy2EYB6VQp7XcdJMiQb,We met in college.,WE MEET IN COLLEGE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/5cy2EYB6VQp7XcdJMiQb
Wl1Mxwkh4a5UHmVKtRV2,Would you help me out?,help-me will you,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Wl1Mxwkh4a5UHmVKtRV2
98pfnIcfjbWAjG7AocRp,i can’t wait for this day to be over.,ME CANNOT WAIT FOR THIS DAY FINISH,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/98pfnIcfjbWAjG7AocRp
f1pZ9qRcBWWOvcmzxJLC,Please throw out the garbage,PLEASE THROW OUT GARBAGE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/f1pZ9qRcBWWOvcmzxJLC
2uAF4N2PYWS2nX6kUXh8,We can win this match if we work together.,"WE CAN WIN THIS MATCH #IF IX-K-p:2,S   WORK TOGETHER",ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/2uAF4N2PYWS2nX6kUXh8
8rW64NZzZ9yZJDjZmCJi,My mom is here,my mom here,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/8rW64NZzZ9yZJDjZmCJi
imC5NhUNo4LzcxpYEWx9,"Look at the house, it's shed is falling.",LOOK HOUSE ITSELF FALL,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/imC5NhUNo4LzcxpYEWx9
Arbdc1K7vHjgZv8VtQvj,This might actually work,THIS MAYBE ACTUALLY WORK,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Arbdc1K7vHjgZv8VtQvj
lOkBJxF1VXcaVqTxnloF,Do you like yellow or blue?,fs-DO YOU LIKE YELLOW fs-OR BLUE COLOR,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/lOkBJxF1VXcaVqTxnloF
nFemnXSO57ckPIDTVMeU,This is the third time you've lied to me.,THREE TIME LIE YOU ME,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/nFemnXSO57ckPIDTVMeU
9JSNA9tjtGMDZT2bwvll,"I want to buy this bag, however, I need to save up for it first.",ME WANT BUY THIS fs-BAG HOWEVER NEED SAVE FIRST,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/9JSNA9tjtGMDZT2bwvll
X7tLFJ84qYU6UrN8ctec,Nicholas goes to bank.,fs-NICHOLAS GO #BANK,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/X7tLFJ84qYU6UrN8ctec
03Zs4GIAm02lT8czyJgL,"The moment she walked in the room, her puppy started to jump and dance again.",MOMENT fs-SHE WALK IN ROOM fs-PUPPY JUMP POSS-s:3 AND DANCE AGAIN,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/03Zs4GIAm02lT8czyJgL
ThbXfQ6pYSQ3n267l1VQ,Nicholas went to the bank,fs-NICHOLAS GO #BANK,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/ThbXfQ6pYSQ3n267l1VQ
CL526eXmB5FxjJGQnz4X,The others hasn't arrived yet,other not-yet arrive,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/CL526eXmB5FxjJGQnz4X
TysDaXWPejf73D0hso6D,Can you try to be nicer to him?,CAN YOU TRY nice IX-ONE-s:2,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/TysDaXWPejf73D0hso6D
8Fz1ZvmACbS6cjV5BNzE,Have you ever tried this cake?,YOU EVER TRY THIS CAKE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/8Fz1ZvmACbS6cjV5BNzE
QWAhCUw5d2jF1IJrGNG4,I read somewhere that this house is haunted.,ME READ SOMEWHERE THAT HOUSE SCARE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/QWAhCUw5d2jF1IJrGNG4
vzVrid6KJWm0DoiqzBol,,WHAT CAN WE CHANGE SO THINGS BETTER,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/vzVrid6KJWm0DoiqzBol
SxVuzGgvXuwZCEsNr1VR,i like this bag better than the other one you showed me.,ME LIKE THIS BAG BETTER THAN OTHER YOU SHOW-ME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/SxVuzGgvXuwZCEsNr1VR
ZAktMyTlt6qK4plGNYnR,She’s going to play the role of elsa.,IX-ONE-s:2 WILL PLAY ROLE WHAT fs-ELSA,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/ZAktMyTlt6qK4plGNYnR
IM44ehJFADwhecKIful5,Please decide where to eat.,PLEASE DECIDE WHERE EAT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/IM44ehJFADwhecKIful5
oXgUCxsAG23pWhflgcZ4,This ice cream place is great for families with kids!,THIS ICE-CREAM PLACE GREAT FAMILY WITH CHILDREN FOR,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/oXgUCxsAG23pWhflgcZ4
lCmPnHOb9mEPDXPmKiQU,"Hi, can I have a table for two?",,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/lCmPnHOb9mEPDXPmKiQU
rtbyxnwVH0ha2DdRNmGJ,Let’s watch the sun set on the horizon.,"ix-one-s:1,2,3 WATCH SUNSET",ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/rtbyxnwVH0ha2DdRNmGJ
85wK71UvPMgziEVDKFVW,I really like you.,ME REALLY LIKE YOU,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/85wK71UvPMgziEVDKFVW
R7D8CJLDYxnh8xWLyuHB,Her baby is so adorable.,POSS-s:2 BABY BEAUTIFUL,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/R7D8CJLDYxnh8xWLyuHB
0eZIc1wif6Jwc8EnR31P,All moms are their child's home base,"fs-all mom ix-one-s:3,4 child home",ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/0eZIc1wif6Jwc8EnR31P
vjCX5GEGjF07WdvYH0El,"There, I like to play golf",THERE ME LIKE PLAY GOLF,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/vjCX5GEGjF07WdvYH0El
Dbf9c5SlFxOc2gppIVn4,I want you to meet my aunt.,ME WANT YOU MEET MY AUNT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/Dbf9c5SlFxOc2gppIVn4
tIhDwC86w7860ar7kuXI,I heard him singing earlier.,ME HEAR fs-HIM SONG YELL EARLY,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/tIhDwC86w7860ar7kuXI
K6IOlpsHXUwOXUo6YYXX,Where's the remote control?,remote control where,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/K6IOlpsHXUwOXUo6YYXX
VC5jOkNMZiavR54bSmgR,Are you going to her party tonight?,YOU GO POSS-s:3 PARTY TODAY,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/VC5jOkNMZiavR54bSmgR
drK34Wy8AYlIrZfNEWhh,I'm actually just heading out,ME ACTUALLY LEAVE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/drK34Wy8AYlIrZfNEWhh
SAIu0M8fOmjDtEpb6Mat,Where were you last night?,you last-night where,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/SAIu0M8fOmjDtEpb6Mat
LEk6KyDLiJPnIfdIGGvA,"Among all my pets, he's my most favorite.",MY fs-PETS MOST FAVORITE IX-ONE-s:3,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/LEk6KyDLiJPnIfdIGGvA
whD8Zl4eMKa9L2PIB8CX,One thing led to another.,ONE THING lead OTHER,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/whD8Zl4eMKa9L2PIB8CX
luiLFPhgGuUBzffXazE2,This is the third time you’ve lied to me.,THIS THIRD TIME YOU LIE ME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/luiLFPhgGuUBzffXazE2
JtLuKZFzB7ZxzoTctAls,I didn't mean to sound so angry,not meaning sound mad me,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/JtLuKZFzB7ZxzoTctAls
Z7etiUEGNxa8gPm6TXMa,You must take good care of your health.,YOU MUST CAREFUL+ YOUR HEALTH,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/Z7etiUEGNxa8gPm6TXMa
hTDPxJjQ66ccw5upDPa0,This is public property.,THIS PUBLIC PROPERTY,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/hTDPxJjQ66ccw5upDPa0
RVSMgpF4W3ZIfrtdBwY7,You are like family to me.,you like family me,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/RVSMgpF4W3ZIfrtdBwY7
29bHpD4aTr5izSk7WJ8w,Turn right when you reach the corner.,YOU RIGHT ARRIVE CORNER,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/29bHpD4aTr5izSk7WJ8w
32NSepuABe37VEfhy2PS,The doctor is in.,FINISH IN DOCTOR,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/32NSepuABe37VEfhy2PS
6oWgOudSLPp37O2pUkAd,Please give them some of the apples I brought home.,"PLEASE GIVE IX-ONE-p:3,4 APPLE HOME ME BUY",ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/6oWgOudSLPp37O2pUkAd
tL9nDaS2k632JT95jnfJ,Let me choose a color.,LET me PICK COLOR,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/tL9nDaS2k632JT95jnfJ
rDTKWC6nMB6IQ75yZA66,"Looking back, I knew I was always an introvert",looking-back know always introvert me,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/rDTKWC6nMB6IQ75yZA66
0U1IGdwCzedAqca8Mh9u,I can’t bear to face this horrendous traffic again and again,awful traffic again can't tolerate,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/0U1IGdwCzedAqca8Mh9u
yDsboLD3R88Z3dpv1cXG,What course did you take up in college?,   college class take you what,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/yDsboLD3R88Z3dpv1cXG
wxIqYeNVsTTZn9fxq3vw,My work load is so full now.,my WORK FULL  NOW,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/wxIqYeNVsTTZn9fxq3vw
pDpb9u4R6doRRTKNJdbN,Please put down that book and listen to me.,PLEASE ME BOOK DOWN LISTEN,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/pDpb9u4R6doRRTKNJdbN
dsTYCWMLDE0i0JDhZ2l8,Let me choose a color,color pick allow me,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/dsTYCWMLDE0i0JDhZ2l8
FyiTOokWZjsNrIux3kYl,He did suggest that to me.,fs-he SUGGEST ME that,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/FyiTOokWZjsNrIux3kYl
T7DYLBTodtlevbYV0MsZ,Don't force him to play with other kids.,DO-NOT FORCE IX-ONE-s:1 PLAY WITH OTHER KID,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/T7DYLBTodtlevbYV0MsZ
15tYbNYKx12i25911hP6,"As soon as I get home, I'm going to start watching that series.",,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/15tYbNYKx12i25911hP6
TWXfLXj5NFQ9b2bnJ1Hz,We have to act as one nation.,we TOGETHER  ACT ONE NATION,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/TWXfLXj5NFQ9b2bnJ1Hz
wLVYVKUGb6ZNRnq4etN9,can you ask the waiter to bring us some wine?,CAN YOU ASK SERVER BRING SOME WINE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/wLVYVKUGb6ZNRnq4etN9
PMsqrvuZzOCaArmg6FMM,there’s a certain kind of magic in the air now.,NOW HAVE SPECIFIC  TYPE MAGIC IN fs-air,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/PMsqrvuZzOCaArmg6FMM
Oj3taSEux5ro6fWCt7Eu,She kept saying this over and over again.,IX-ONE-s:1 CONTINUE+ SAY THIS AGAIN-AND-AGAIN,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Oj3taSEux5ro6fWCt7Eu
psrmXQtFsE4eYf7oWByD,Turn right when you reach the corner.,ARRIVE CORNER TURN-RIGHT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/psrmXQtFsE4eYf7oWByD
9cy4U2tJaB0msAkC5okJ,it’s a major issue for the project.,ix-one-s:3 BIG PROBLEM FOR PROJECT,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/9cy4U2tJaB0msAkC5okJ
kLoxMC2iAVT7oYlLJgRO,this relaxation technique really eases my mind.,THIS RELAX TECHNIQUE REALLY CALM MY MIND,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/kLoxMC2iAVT7oYlLJgRO
3l6H1r0TU7V4VuJDrwty,Ii watch movies on my ipad.,ME WATCH movie MY fs-IPAD,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/3l6H1r0TU7V4VuJDrwty
3OuDe8Ee2KAZ906aKrG1,You are my only friend here.,YOU my ONLY FRIEND HERE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/3OuDe8Ee2KAZ906aKrG1
syh0UYF97gKu1IpXD2EI,Is anyone else coming?,anyone other come,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/syh0UYF97gKu1IpXD2EI
TwJZeSHU0jxFaqdsc4zb,,,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/TwJZeSHU0jxFaqdsc4zb
LZ2279bEEYQURmFFF6qC,I am so against domestic abuse,me fs-so  against fs-dv,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/LZ2279bEEYQURmFFF6qC
V8SsO4ous9aFlo3qNCEf,Some special paper are even scented!, some special paper scent,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/V8SsO4ous9aFlo3qNCEf
u0XpZYMnRcxEsKYf3MoY,Santa lives up north.,SANTA LIVE UP NORTH,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/u0XpZYMnRcxEsKYf3MoY
